ANO_MES,PRODUTO,#TP_SEGURO,AREA_AMPARADA_ADESAO,AREA_AMPARADA_ComCOP,AREA_AMPARADA_ComCOP_DEFERIDA,QTD_ADESAO,QTD_ComCOP,QTD_ComCOP_DEFERIDA,VL_AMPARADO_ComCOP_DEF,VL_COBERTURA_ComCOP_DEFERIDA_DEF,VL_ADICIONAL_ADESAO_DEF
2013-02-01,BERINJELA,PROAGRO TRADICIONAL,4.4,0.0,0.0,3,0.0,0.0,0.0,0.0,4734.434301968117
2013-02-01,BETERRABA,PROAGRO MAIS,57.75,2.0,2.0,29,1.0,1.0,24184.040602766512,19023.12756949273,20484.520925948207
2013-02-01,BETERRABA,PROAGRO TRADICIONAL,27.9,6.7,6.7,6,1.0,1.0,81016.53010580788,40450.29343389997,8610.411623575123
2013-02-01,BRÓCOLOS (BRÓCOLIS),PROAGRO MAIS,11.75,0.0,0.0,12,0.0,0.0,0.0,0.0,4247.855106077919
2013-02-01,CACAU,PROAGRO MAIS,125.0,0.0,0.0,26,0.0,0.0,0.0,0.0,14868.803688227414
2013-02-01,CACAU,PROAGRO TRADICIONAL,131.99,0.0,0.0,10,0.0,0.0,0.0,0.0,13259.120467859364
2013-02-01,CAFÉ,PROAGRO MAIS,11384.23,67.99000000000001,21.73,4185,13.0,6.0,898854.387751559,152067.40183761588,2726085.8360736277
2013-02-01,CAFÉ,PROAGRO TRADICIONAL,1484.3,0.0,0.0,110,0.0,0.0,0.0,0.0,411324.70173270756
2013-02-01,CAJU,PROAGRO MAIS,928.58,0.0,0.0,68,0.0,0.0,0.0,0.0,15514.868898861285
2013-02-01,CAJU,PROAGRO TRADICIONAL,3.6,0.0,0.0,2,0.0,0.0,0.0,0.0,438.956131791728
2013-02-01,CANA-DE-AÇUCAR,PROAGRO MAIS,1067.05,0.0,0.0,172,0.0,0.0,0.0,0.0,101914.71726651207
2013-02-01,CANA-DE-AÇUCAR,PROAGRO TRADICIONAL,1085.92,0.0,0.0,34,0.0,0.0,0.0,0.0,132012.1192576148
2013-02-01,CANOLA,PROAGRO MAIS,23.5,0.0,0.0,2,0.0,0.0,0.0,0.0,1096.1189355909296
2013-02-01,CANOLA,PROAGRO TRADICIONAL,26.0,26.0,26.0,1,1.0,1.0,49475.94821488335,28798.07686023403,1484.4952733111872
2013-02-01,CAPIM,PROAGRO TRADICIONAL,4.8,0.0,0.0,1,0.0,0.0,0.0,0.0,880.0213976308634
2013-02-01,CAQUI,PROAGRO TRADICIONAL,2.02,0.0,0.0,1,0.0,0.0,0.0,0.0,786.8844034813319
2013-02-01,CARÁ,PROAGRO MAIS,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1019.914148420117
2013-02-01,CARÁ,PROAGRO TRADICIONAL,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2931.302095233188
2013-02-01,CEBOLA,PROAGRO MAIS,69.44,12.53,12.53,29,3.0,3.0,189992.03681704527,94134.83138081979,28796.992725910597
2013-02-01,CEBOLA,PROAGRO TRADICIONAL,33.21,1.7,0.0,16,1.0,0.0,15636.094827754328,0.0,7279.390347395841
2013-02-01,CEBOLINHA VERDE,PROAGRO MAIS,7.36,0.0,0.0,14,0.0,0.0,0.0,0.0,4825.481873603393
2013-02-01,CENOURA,PROAGRO MAIS,12.61,0.0,0.0,14,0.0,0.0,0.0,0.0,5758.113353220521
2013-02-01,CENOURA,PROAGRO TRADICIONAL,14.52,0.0,0.0,1,0.0,0.0,0.0,0.0,2955.8429540090965
2013-02-01,CHUCHU,PROAGRO MAIS,23.27,0.0,0.0,19,0.0,0.0,0.0,0.0,11387.352702684506
2013-02-01,CHUCHU,PROAGRO TRADICIONAL,2.5,0.0,0.0,2,0.0,0.0,0.0,0.0,1060.0074068540107
2013-02-01,COCO,PROAGRO MAIS,10.2,0.0,0.0,3,0.0,0.0,0.0,0.0,2362.21042156311
2013-02-01,COGUMELO,PROAGRO TRADICIONAL,0.12,0.0,0.0,2,0.0,0.0,0.0,0.0,1790.437979384177
2013-02-01,COUVE,PROAGRO MAIS,4.32,0.1,0.0,5,1.0,0.0,3816.50762608338,0.0,2451.2868398830533
2013-02-01,COUVE-FLOR,PROAGRO MAIS,38.39,0.7,0.0,31,1.0,0.0,17158.416533186773,0.0,14219.643766888468
2013-02-01,COUVE-FLOR,PROAGRO TRADICIONAL,0.62,0.0,0.0,1,0.0,0.0,0.0,0.0,223.54849749202876
2013-02-01,CRISÂNTEMO,PROAGRO MAIS,0.55,0.0,0.0,2,0.0,0.0,0.0,0.0,1603.6514912231273
2013-02-01,DENDÊ,PROAGRO MAIS,30.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1948.2879368761237
